"","X","Symbol","Name","Sector","Price","Price.Earnings","Dividend.Yield","Earnings.Share","X52.Week.Low","X52.Week.High","Market.Cap","EBITDA.x","Price.Sales","Price.Book","SEC.Filings","Debt","Rev_Growth","EBITDA.y","Leverage","Beta"
"232",234,"IPG","Interpublic Group","Consumer Discretionary",21.34,15.5,3.38,1.49,25.71,18.3,8277363031,1074900000,1.4712903,4.01,"http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=IPG",3261.4,5.47,1074900000,3.03,0.792908447991674
"233",235,"IQV","IQVIA Holdings Inc.","Health Care",95.23,21.7,0,0.76,110.67,75.94,20426488713,1.54e+09,2.8477087,2.77,"http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=IQV",10518,8.21,1.54e+09,6.82,1.19887888081214
"234",236,"IR","Ingersoll-Rand PLC","Industrials",87.6,19.4,1.97,5.07,97.67,77.26,22785450609,1987100000,1.6147361,3.34,"http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=IR",3739.8,10.42,1987100000,1.88,0.940030202061516
"235",237,"IRM","Iron Mountain Incorporated","Real Estate",32.07,15.4,7.08,0.46,41.53,32.05,9410249279,1116140000,3.2898626,4.97,"http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=IRM",8109.18,9.69,1116140000,7.27,0.638657540102857
"236",238,"ISRG","Intuitive Surgical Inc.","Health Care",381.87,48.6,0,5.67,452,233.10643,44866621303,1153700000,14.655261,9.48,"http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ISRG",0,18.88,1153700000,0,1.56631541874639
"237",239,"IT","Gartner Inc","Information Technology",114.26,36.9,0,2.31,142.16,97.96,10828314389,234935000,4.894499,13.47,"http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=IT",2077.47,30.03,234935000,8.84,0.932935423805691
"238",240,"ITW","Illinois Tool Works","Industrials",156.15,23.6,1.91,4.86,179.07,126.52,55994378108,3.92e+09,3.9286149,10.99,"http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ITW",6054,5.2,3.92e+09,1.54,0.977529300644422
"239",241,"IVZ","Invesco Ltd.","Financials",31.92,11.9,3.47,2.74,38.43,29.36,13620847614,1606200000,2.6513786,1.62,"http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=IVZ",7635.1,9.13,1606200000,4.75,0.993749098255284
"240",242,"JBHT","J. B. Hunt Transport Services","Industrials",114.81,30.6,0.81,6.19,126.49,83.35,12945366350,1007309000,1.7697402,8.55,"http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=JBHT",898.4,19.82,1007309000,0.89,0.943616681462504
"241",243,"JCI","Johnson Controls International","Industrials",36.55,14,2.77,1.71,44.37,34.51,34822224800,4.3e+09,1.1415336,1.69,"http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=JCI",9654,4.07,4.3e+09,2.25,0.849786319666953
